"co2level","Date","GPP","Precipitation","Tair","Tem_soil_surface","Tem_soil_0_10cm","Tem_soil_10_20cm","Tem_soil_20_30cm","Tem_soil_30_40cm","Tem_soil_40_50cm","Tem_soil_50_60cm","Tem_soil_60_70cm","Tem_soil_70_80cm","Tem_soil_80_90cm","Tem_soil_90_100cm","Water_soil_0_10cm","Water_soil_10_20cm","Water_soil_20_30cm","Water_soil_30_40cm","Water_soil_40_50cm","Water_soil_50_60cm","Water_soil_60_70cm","Water_soil_70_80cm","Water_soil_80_90cm","Water_soil_90_100cm"
"CO2: 400 ppm",2015-05-18,0.4149,8.9,4.945,3.25166666666667,1.27416666666667,-0.0691666666666667,-0.386666666666667,-0.460416666666667,-0.179166666666667,0.42625,1.02958333333333,1.53875,1.94583333333333,2.3525,0.9528,0.943758333333333,0.945775,0.947229166666667,0.948270833333333,0.949,0.9495,0.9498,0.9499,0.95
"CO2: 400 ppm",2015-05-19,1.3399,0.1,6.71916666666667,2.75458333333333,0.855,-0.177916666666667,-0.417916666666667,-0.486666666666667,-0.195,0.405416666666667,1.00458333333333,1.50916666666667,1.9175,2.32541666666667,0.952333333333333,0.941,0.944383333333333,0.946541666666667,0.947945833333333,0.948845833333333,0.949395833333333,0.949741666666667,0.9499,0.95
"CO2: 400 ppm",2015-05-20,2.2242,0,9.5875,3.34875,1.075,-0.1325,-0.43375,-0.507083333333333,-0.219166666666667,0.385833333333333,0.99125,1.49375,1.89625,2.29666666666667,0.952433333333333,0.938375,0.942879166666667,0.945733333333333,0.947516666666667,0.9486125,0.9492625,0.949666666666667,0.9499,0.95
"CO2: 400 ppm",2015-05-21,2.5291,0,12.46375,4.71125,1.68541666666667,0.01875,-0.415833333333333,-0.52,-0.2425,0.358333333333333,0.957916666666667,1.45833333333333,1.85375,2.25166666666667,0.9521375,0.936304166666667,0.941604166666667,0.945004166666667,0.947116666666667,0.948408333333333,0.9491875,0.949633333333333,0.949854166666667,0.95
"CO2: 400 ppm",2015-05-22,3.1813,0,12.7404166666667,4.76541666666667,1.76,0.0458333333333333,-0.428333333333333,-0.53625,-0.25875,0.338333333333333,0.935,1.43083333333333,1.82833333333333,2.22333333333333,0.952308333333333,0.934933333333333,0.9406125,0.9443625,0.946745833333333,0.948208333333333,0.949054166666667,0.949554166666667,0.9498,0.95
"CO2: 400 ppm",2015-05-23,3.8097,0,16.2583333333333,5.87416666666667,2.23416666666667,0.165833333333333,-0.42,-0.56125,-0.29125,0.3025,0.894583333333333,1.38958333333333,1.78041666666667,2.17625,0.952275,0.934970833333333,0.940441666666667,0.944170833333333,0.946595833333333,0.948108333333333,0.949029166666667,0.949520833333333,0.9498,0.95
"CO2: 400 ppm",2015-05-24,3.0943,0,15.69125,5.80125,2.395,0.2575,-0.393333333333333,-0.544166666666667,-0.279166666666667,0.31,0.897916666666667,1.39083333333333,1.78416666666667,2.17875,0.952620833333333,0.936333333333333,0.941041666666667,0.944391666666667,0.946670833333333,0.948129166666667,0.949004166666667,0.9495,0.9498,0.95
"CO2: 400 ppm",2015-05-25,1.5114,21.3,14.4170833333333,5.66208333333333,2.50666666666667,0.353333333333333,-0.363333333333333,-0.522916666666667,-0.260416666666667,0.327916666666667,0.917916666666667,1.41,1.79916666666667,2.19166666666667,0.952791666666667,0.938858333333333,0.9424,0.945091666666667,0.947020833333333,0.9483,0.9491,0.949591666666667,0.9498,0.95
"CO2: 400 ppm",2015-05-26,3.5508,0.1,16.6058333333333,6.51375,2.7125,0.391666666666667,-0.37875,-0.561666666666667,-0.298333333333333,0.285833333333333,0.869166666666667,1.35916666666667,1.74916666666667,2.14333333333333,0.952708333333333,0.9401625,0.9432,0.945554166666667,0.947254166666667,0.9484125,0.949191666666667,0.9496,0.949820833333333,0.95
"CO2: 400 ppm",2015-05-27,4.2897,0,18.4966666666667,7.30125,3.02375,0.496666666666667,-0.365833333333333,-0.583333333333333,-0.315416666666667,0.26875,0.8525,1.34083333333333,1.73041666666667,2.12125,0.952508333333333,0.939716666666667,0.943095833333333,0.945533333333333,0.947266666666667,0.9484375,0.949158333333333,0.9496,0.949854166666667,0.95
